id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
fluttercoin,FlutterCoin,FLT,689,0.0048246,0.00000043,2816.31,2105700.0,436450711.0,436450711.0,,1.56,-5.1,28.56,1519178342
noblecoin,NobleCoin,NOBL,690,0.0008976,0.00000008,13487.9,2084239.0,2322013356.0,2322013356.0,,1.56,-21.41,-14.09,1519178341
unitus,Unitus,UIS,691,0.0442068,0.00000394,32302.2,2068253.0,46785866.0,46785866.0,,-0.17,-6.86,-3.65,1519178343
bittokens,BitTokens,BXT,692,3.56012,0.0003173,2137.33,2057326.0,577881.0,577881.0,,6.54,3.33,110.55,1519178347
petrodollar,PetroDollar,XPD,693,0.031982,0.00000285,102289.0,2046633.0,63993275.0,63993275.0,,3.09,28.83,30.45,1519178342
insanecoin-insn,InsaneCoin,INSN,694,0.111004,0.00000989,3881.39,2042245.0,18397942.0,18647942.0,30000000.0,0.36,-11.57,2.23,1519178351
ethereum-gold,Ethereum Gold,ETG,695,0.168651,0.00001503,8490.48,2023812.0,12000000.0,24000000.0,,21.97,59.37,61.72,1519178355
kekcoin,KekCoin,KEK,696,0.190964,0.00001702,5598.87,2013468.0,10543705.0,11543705.0,21000000.0,1.56,-14.91,28.83,1519178353
maxcoin,MaxCoin,MAX,697,0.0326502,0.00000291,13729.3,2006218.0,61445805.0,61445805.0,,-11.85,-29.76,157.29,1519178341
growers-international,Growers International,GRWI,698,1.69669,0.00015122,14864.3,1995153.0,1175909.0,1175909.0,,1.39,-2.42,6.21,1519178354
unbreakablecoin,UnbreakableCoin,UNB,699,0.849915,0.00007575,586007.0,1936234.0,2278150.0,2278150.0,,-0.81,-13.2,-7.68,1519178342
renos,Renos,RNS,700,0.0572994,0.00000511,3551.45,1911283.0,33356077.0,33356077.0,,1.39,-10.42,0.68,1519178350
